sku,title,link,price,image
211053STK,A. Vogel Oorspray Oorsmeer 20ml,http://www.jumbo.com/a-vogel-oorspray-oorsmeer-20ml/211053STK/,11.39,https://static-images.jumbo.com/product_images/031120180610_211053STK-1_360x360.png
89976STK,A. Vogel Pollinosan Hooikoorts Oogdruppels 10ml,http://www.jumbo.com/a-vogel-pollinosan-hooikoorts-oogdruppels-10ml/89976STK/,10.89,https://static-images.jumbo.com/product_images/89976STK-1_360x360.png
496473STK,A.Vogel Cinuforce Stoomdruppels 20ml,http://www.jumbo.com/avogel-cinuforce-stoomdruppels-20ml/496473STK/,6.99,https://static-images.jumbo.com/product_images/496473STK-1_360x360.png
496470STK,"A.Vogel Cinuforce Tabletten 80 Stuks 20, 8g","http://www.jumbo.com/avogel-cinuforce-tabletten-80-stuks-20,-8g/496470STK/",6.49,https://static-images.jumbo.com/product_images/496470STK-1_360x360.png
165822STK,A.Vogel Echinaforce 30 Tabletten,http://www.jumbo.com/avogel-echinaforce-30-tabletten/165822STK/,9.34,https://static-images.jumbo.com/product_images/165822STK-1_360x360.png
512456STK,A.Vogel Echinaforce Forte + Vit C Weerstand Tabletten 45 Stuks,http://www.jumbo.com/avogel-echinaforce-forte--vit-c-weerstand-tabletten-45-stuks/512456STK/,13.79,https://static-images.jumbo.com/product_images/512456STK-1_360x360.png
72628STK,A.Vogel Echinaforce Forte Weerstand 60 Stuks,http://www.jumbo.com/avogel-echinaforce-forte-weerstand-60-stuks/72628STK/,14.79,https://static-images.jumbo.com/product_images/72628STK-1_360x360.png
496466STK,A.Vogel Echinaforce Weerstand 80 Stuks,http://www.jumbo.com/avogel-echinaforce-weerstand-80-stuks/496466STK/,7.85,https://static-images.jumbo.com/product_images/496466STK-1_360x360.png
38989FLS,A.Vogel Keelspray 30ml,http://www.jumbo.com/avogel-keelspray-30ml/38989FLS/,9.89,https://static-images.jumbo.com/product_images/38989FLS-1_360x360.png
498252DS,A.Vogel Pollinosan Forte 30 Stuks,http://www.jumbo.com/avogel-pollinosan-forte-30-stuks/498252DS/,8.99,https://static-images.jumbo.com/product_images/498252DS-1_360x360.png
195485FLS,AA Drink High Energy 500ml,http://www.jumbo.com/aa-drink-high-energy-500ml/195485FLS/,0.92,https://static-images.jumbo.com/product_images/523936FLS-1_360x360.png
195485TRL,AA Drink High Energy 500ml,http://www.jumbo.com/aa-drink-high-energy-500ml/195485TRL/,9.94,https://static-images.jumbo.com/product_images/121120181128_195485TRL-5_360x360.png
213489FLS,AA Drink High Energy Sportdop 330ml,http://www.jumbo.com/aa-drink-high-energy-sportdop-330ml/213489FLS/,0.74,https://static-images.jumbo.com/product_images/230720181614_213489FLS-1_360x360.png
146409DSL,AA Drink Hydration Zero Sugar 500ml,http://www.jumbo.com/aa-drink-hydration-zero-sugar-500ml/146409DSL/,9.61,https://static-images.jumbo.com/product_images/121120181127_146409DSL-5_360x360.png
146409FLS,AA Drink Hydration Zero Sugar 500ml,http://www.jumbo.com/aa-drink-hydration-zero-sugar-500ml/146409FLS/,0.89,https://static-images.jumbo.com/product_images/146409FLS-1_360x360.png
146408FLS,AA Drink Iso Lemon 500ml,http://www.jumbo.com/aa-drink-iso-lemon-500ml/146408FLS/,0.88,https://static-images.jumbo.com/product_images/146408FLS-1_360x360.png
146408DSL,AA Drink Iso Lemon 500ml,http://www.jumbo.com/aa-drink-iso-lemon-500ml/146408DSL/,10.56,https://static-images.jumbo.com/product_images/121120181127_146408DSL-5_360x360.png
204248FLS,AA Drink Sportwater Berries 500ml,http://www.jumbo.com/aa-drink-sportwater-berries-500ml/204248FLS/,0.75,https://static-images.jumbo.com/product_images/204248FLS-1_360x360.png
184578FLS,AA Drink Sportwater Lemon 500ml,http://www.jumbo.com/aa-drink-sportwater-lemon-500ml/184578FLS/,0.73,https://static-images.jumbo.com/product_images/184578FLS-1_360x360.png
170148POT,Aardappel Anders Bacon - Ui 390ml,http://www.jumbo.com/aardappel-anders-bacon---ui-390ml/170148POT/,1.77,https://static-images.jumbo.com/product_images/170148POT-1_360x360.png
170146POT,Aardappel Anders Ham - Kaas 390ml,http://www.jumbo.com/aardappel-anders-ham---kaas-390ml/170146POT/,1.82,https://static-images.jumbo.com/product_images/170146POT-1_360x360.png
